# m_values fit
1.000000000000000000e+00 -5.657938082653798462e-04
1.113924050632911333e+00 -1.101030288661850764e-04
1.227848101265822667e+00 4.417850340367771905e-06
1.341772151898734222e+00 -1.182326936021874331e-04
1.455696202531645556e+00 -1.325058716907405237e-04
1.569620253164556889e+00 -1.360759711955077101e-04
1.683544303797468444e+00 -1.815939398525083406e-04
1.797468354430379778e+00 -1.679674462006846766e-04
1.911392405063291111e+00 -1.402934840004989607e-04
2.025316455696202667e+00 -1.780322115255384644e-04
2.139240506329113778e+00 -1.516900205396188130e-04
2.253164556962025333e+00 -1.545472045258510310e-04
2.367088607594936889e+00 -1.276806899238696052e-04
2.481012658227848000e+00 -1.660405134384264076e-04
2.594936708860759556e+00 -1.041140703442812080e-04
2.708860759493671111e+00 -1.132997907104156960e-04
2.822784810126582222e+00 -1.273455689241465710e-04
2.936708860759493334e+00 -1.552553846461832078e-04
3.050632911392404889e+00 -1.063421590466843980e-04
3.164556962025316444e+00 -1.129491992505640924e-04
3.278481012658227556e+00 -1.447156832872504694e-04
3.392405063291139111e+00 -1.640107367900548807e-04
3.506329113924050667e+00 -1.497128331542846638e-04
3.620253164556961778e+00 -1.426164380083550409e-04
3.734177215189873333e+00 -1.263961403396642882e-04
3.848101265822784889e+00 -1.485306870345739420e-04
3.962025316455696000e+00 -1.718285934605329494e-04
4.075949367088608000e+00 -1.625492140312355025e-04
4.189873417721519111e+00 -1.595658314145762045e-04
4.303797468354430222e+00 -1.591310259842338261e-04
4.417721518987342222e+00 -1.766582038186386989e-04
4.531645569620252445e+00 -1.830626858388099281e-04
4.645569620253164445e+00 -1.983764910825616050e-04
4.759493670886076444e+00 -1.813879895041691165e-04
4.873417721518986667e+00 -1.908329108541645999e-04
4.987341772151898667e+00 -2.149088044155725470e-04
5.101265822784809778e+00 -1.932015745980652502e-04
5.215189873417721778e+00 -2.017712023488141943e-04
5.329113924050632889e+00 -2.210915086418589390e-04
5.443037974683544000e+00 -1.922894544627641621e-04
5.556962025316455112e+00 -2.485635715993116503e-04
5.670886075949367111e+00 -2.221828876756409951e-04
5.784810126582278222e+00 -2.440594515452538269e-04
5.898734177215189334e+00 -2.633677320529711672e-04
6.012658227848101333e+00 -2.491087275419831483e-04
6.126582278481012445e+00 -2.476836387380028717e-04
6.240506329113923556e+00 -2.874945183812320460e-04
6.354430379746835555e+00 -3.355367301232947707e-04
6.468354430379746667e+00 -1.127755310242247507e-03
6.582278481012657778e+00 -1.343245762108985042e-04
6.696202531645569778e+00 -3.362537367680274000e-04
6.810126582278480889e+00 -4.192013736347824696e-04
6.924050632911392000e+00 -5.029560591023866814e-05
7.037974683544304000e+00 -2.659217324115626768e-04
7.151898734177215111e+00 -3.737602486438495412e-04
7.265822784810126223e+00 -1.504847464432146841e-04
7.379746835443038222e+00 -1.921176462487030469e-04
7.493670886075949333e+00 -2.594106859026757802e-05
7.607594936708860445e+00 3.800340471717658972e-05
7.721518987341771556e+00 -1.164440770918146335e-04
7.835443037974683556e+00 -1.583955111237552978e-03
7.949367088607594667e+00 -2.244840847598355334e-03
8.063291139240504890e+00 -9.673968670194849073e-03
8.177215189873418666e+00 -2.288720292451896631e-03
8.291139240506328889e+00 -4.195866054049960173e-03
8.405063291139239112e+00 -4.693337258566984238e-04
8.518987341772152888e+00 -2.544001289204467502e-04
8.632911392405063111e+00 7.794589616437404582e-04
8.746835443037973334e+00 -2.289143841684780189e-04
8.860759493670887110e+00 1.568494979260279395e-04
8.974683544303797333e+00 -1.730776691996841615e-04
9.088607594936709333e+00 -7.683295053429042365e-04
9.202531645569619556e+00 4.380936242064803303e-03
9.316455696202531556e+00 3.235173331460622229e-04
9.430379746835443555e+00 6.172440778009484106e-05
9.544303797468353778e+00 -1.012023031303814274e-03
9.658227848101265778e+00 1.018938605266835561e-04
9.772151898734177777e+00 -6.841999273733734982e-03
9.886075949367088000e+00 -5.048318480045445875e-04
1.000000000000000000e+01 -5.993612508453171435e-04
