# m_values fit
1.000000000000000000e+00 8.388041347140837340e-05
1.113924050632911333e+00 -1.499180826599853258e-04
1.227848101265822667e+00 -1.501584098517631046e-04
1.341772151898734222e+00 -5.004289157559027763e-04
1.455696202531645556e+00 -1.284400663493498527e-04
1.569620253164556889e+00 -1.659621028329622732e-04
1.683544303797468444e+00 -1.118086919238471408e-04
1.797468354430379778e+00 -1.487781780672713680e-04
1.911392405063291111e+00 -1.427390975617875502e-04
2.025316455696202667e+00 -1.415041641979728241e-04
2.139240506329113778e+00 -1.453256080461957727e-04
2.253164556962025333e+00 -1.807244969832172475e-04
2.367088607594936889e+00 -1.265421502219952663e-04
2.481012658227848000e+00 -1.692823058970458492e-04
2.594936708860759556e+00 -1.344983331778236402e-04
2.708860759493671111e+00 -1.376240146457607147e-04
2.822784810126582222e+00 -1.512292315177738225e-04
2.936708860759493334e+00 -1.303431408634196924e-04
3.050632911392404889e+00 -1.457185163172891108e-04
3.164556962025316444e+00 -1.260019032279465802e-04
3.278481012658227556e+00 -1.504294298187252546e-04
3.392405063291139111e+00 -1.255728287152459318e-04
3.506329113924050667e+00 -1.440817964381378030e-04
3.620253164556961778e+00 -1.621627919800460620e-04
3.734177215189873333e+00 -1.572058749996972605e-04
3.848101265822784889e+00 -1.291668175546218777e-04
3.962025316455696000e+00 -1.721129614858028214e-04
4.075949367088608000e+00 -1.590929120779635032e-04
4.189873417721519111e+00 -1.524914824616421848e-04
4.303797468354430222e+00 -1.497225091551896900e-04
4.417721518987342222e+00 -1.539197984490316650e-04
4.531645569620252445e+00 -1.859745676210449122e-04
4.645569620253164445e+00 -1.917388583474436043e-04
4.759493670886076444e+00 -1.938257061535084516e-04
4.873417721518986667e+00 -1.795652952130098734e-04
4.987341772151898667e+00 -2.239226322821741158e-04
5.101265822784809778e+00 -2.090929256873293846e-04
5.215189873417721778e+00 -2.248617938631433547e-04
5.329113924050632889e+00 -2.045860553528677523e-04
5.443037974683544000e+00 -2.003204090297792375e-04
5.556962025316455112e+00 -2.482595144016072706e-04
5.670886075949367111e+00 -2.547730974117304510e-04
5.784810126582278222e+00 -2.267764554506159001e-04
5.898734177215189334e+00 -2.435551544069664150e-04
6.012658227848101333e+00 -2.329115931334276338e-04
6.126582278481012445e+00 -2.733236266428190815e-04
6.240506329113923556e+00 -2.859834078383673693e-04
6.354430379746835555e+00 -2.803545458281978724e-04
6.468354430379746667e+00 -3.229682842374825380e-04
6.582278481012657778e+00 -4.955606948707303241e-04
6.696202531645569778e+00 -3.338387524430455719e-04
6.810126582278480889e+00 -3.332751490524383706e-04
6.924050632911392000e+00 -3.759740531330732472e-04
7.037974683544304000e+00 -7.572543750612824439e-04
7.151898734177215111e+00 -3.551403142014251772e-04
7.265822784810126223e+00 -8.848821657104748314e-05
7.379746835443038222e+00 -1.565703426098098965e-03
7.493670886075949333e+00 -4.424013745222230573e-04
7.607594936708860445e+00 -1.654919109957092398e-04
7.721518987341771556e+00 -2.727089615204619159e-04
7.835443037974683556e+00 8.154425049368292091e-04
7.949367088607594667e+00 -1.018990087034867648e-05
8.063291139240504890e+00 -1.785582610516247984e-03
8.177215189873418666e+00 -5.434008403105358709e-03
8.291139240506328889e+00 3.211287669326081708e-03
8.405063291139239112e+00 -3.814857808258383782e-04
8.518987341772152888e+00 1.042487004630619600e-03
8.632911392405063111e+00 5.181602070816750463e-03
8.746835443037973334e+00 -2.014772560093629965e-04
8.860759493670887110e+00 9.293410404265300484e-04
8.974683544303797333e+00 -2.025358864640347707e-03
9.088607594936709333e+00 -2.269837002776105490e-05
9.202531645569619556e+00 6.419476456645971981e-05
9.316455696202531556e+00 1.141419816213391352e-04
9.430379746835443555e+00 1.423608609568125015e-04
9.544303797468353778e+00 -7.692704713574428628e-05
9.658227848101265778e+00 -1.819350563670740903e-03
9.772151898734177777e+00 4.108565419882421804e-04
9.886075949367088000e+00 -3.594254989979149507e-04
1.000000000000000000e+01 -4.405887392778843562e-04
