# MJ/MJ_real  pendiente[rad/yr]
2.000000000000000000e+00 1.473622651293627896e-05
2.421052631578947345e+00 1.782197058543734611e-05
2.842105263157894690e+00 2.109507164152941993e-05
3.263157894736842035e+00 2.407079324929693541e-05
3.684210526315789380e+00 2.746485487346167226e-05
4.105263157894736281e+00 3.063996584003516997e-05
4.526315789473684070e+00 3.391048002360432672e-05
4.947368421052631859e+00 3.663317488624154240e-05
5.368421052631578760e+00 3.968912203732903273e-05
5.789473684210525661e+00 4.301945011164821263e-05
6.210526315789473450e+00 4.579119527042729214e-05
6.631578947368421240e+00 4.910360452103226607e-05
7.052631578947368141e+00 5.181473395707020534e-05
7.473684210526315042e+00 5.514767091466917708e-05
7.894736842105262831e+00 5.796348864945555522e-05
8.315789473684210620e+00 6.138304406333547781e-05
8.736842105263157521e+00 6.416394488920701357e-05
9.157894736842104422e+00 6.698265357949835963e-05
9.578947368421051323e+00 6.986763802884136238e-05
1.000000000000000000e+01 7.271716990750214571e-05
